Epoch: [89 | 120] | Train Time: 86.00 s | BP Average: 7.47 | Natural Test Acc 0.86 | FGSM Test Acc 0.57 | PGD20 Test Acc 0.35 | CW Test Acc 0.36 |

Epoch: [90 | 120] | Train Time: 86.00 s | BP Average: 7.59 | Natural Test Acc 0.87 | FGSM Test Acc 0.57 | PGD20 Test Acc 0.35 | CW Test Acc 0.36 |

Epoch: [91 | 120] | Train Time: 90.00 s | BP Average: 8.03 | Natural Test Acc 0.86 | FGSM Test Acc 0.57 | PGD20 Test Acc 0.35 | CW Test Acc 0.36 |

Epoch: [92 | 120] | Train Time: 90.00 s | BP Average: 8.06 | Natural Test Acc 0.87 | FGSM Test Acc 0.58 | PGD20 Test Acc 0.36 | CW Test Acc 0.36 |

Epoch: [93 | 120] | Train Time: 90.00 s | BP Average: 8.06 | Natural Test Acc 0.86 | FGSM Test Acc 0.58 | PGD20 Test Acc 0.36 | CW Test Acc 0.36 |

Epoch: [94 | 120] | Train Time: 91.00 s | BP Average: 8.06 | Natural Test Acc 0.87 | FGSM Test Acc 0.58 | PGD20 Test Acc 0.36 | CW Test Acc 0.36 |

Epoch: [95 | 120] | Train Time: 90.00 s | BP Average: 8.06 | Natural Test Acc 0.86 | FGSM Test Acc 0.58 | PGD20 Test Acc 0.36 | CW Test Acc 0.36 |

Epoch: [96 | 120] | Train Time: 90.00 s | BP Average: 8.07 | Natural Test Acc 0.86 | FGSM Test Acc 0.58 | PGD20 Test Acc 0.35 | CW Test Acc 0.36 |

Epoch: [97 | 120] | Train Time: 90.00 s | BP Average: 8.07 | Natural Test Acc 0.86 | FGSM Test Acc 0.57 | PGD20 Test Acc 0.36 | CW Test Acc 0.36 |

Epoch: [98 | 120] | Train Time: 90.00 s | BP Average: 8.08 | Natural Test Acc 0.87 | FGSM Test Acc 0.58 | PGD20 Test Acc 0.36 | CW Test Acc 0.36 |

Epoch: [99 | 120] | Train Time: 90.00 s | BP Average: 8.08 | Natural Test Acc 0.86 | FGSM Test Acc 0.58 | PGD20 Test Acc 0.36 | CW Test Acc 0.36 |

Epoch: [100 | 120] | Train Time: 90.00 s | BP Average: 8.07 | Natural Test Acc 0.87 | FGSM Test Acc 0.58 | PGD20 Test Acc 0.36 | CW Test Acc 0.36 |

Epoch: [101 | 120] | Train Time: 90.00 s | BP Average: 8.09 | Natural Test Acc 0.86 | FGSM Test Acc 0.57 | PGD20 Test Acc 0.36 | CW Test Acc 0.36 |

Epoch: [102 | 120] | Train Time: 90.00 s | BP Average: 8.08 | Natural Test Acc 0.87 | FGSM Test Acc 0.57 | PGD20 Test Acc 0.36 | CW Test Acc 0.36 |

Epoch: [103 | 120] | Train Time: 90.00 s | BP Average: 8.10 | Natural Test Acc 0.86 | FGSM Test Acc 0.58 | PGD20 Test Acc 0.36 | CW Test Acc 0.36 |

Epoch: [104 | 120] | Train Time: 90.00 s | BP Average: 8.08 | Natural Test Acc 0.86 | FGSM Test Acc 0.57 | PGD20 Test Acc 0.36 | CW Test Acc 0.36 |

Epoch: [105 | 120] | Train Time: 91.00 s | BP Average: 8.09 | Natural Test Acc 0.86 | FGSM Test Acc 0.58 | PGD20 Test Acc 0.36 | CW Test Acc 0.36 |

Epoch: [106 | 120] | Train Time: 91.00 s | BP Average: 8.09 | Natural Test Acc 0.86 | FGSM Test Acc 0.58 | PGD20 Test Acc 0.36 | CW Test Acc 0.36 |

Epoch: [107 | 120] | Train Time: 92.00 s | BP Average: 8.09 | Natural Test Acc 0.86 | FGSM Test Acc 0.58 | PGD20 Test Acc 0.36 | CW Test Acc 0.36 |

Epoch: [108 | 120] | Train Time: 91.00 s | BP Average: 8.09 | Natural Test Acc 0.86 | FGSM Test Acc 0.57 | PGD20 Test Acc 0.36 | CW Test Acc 0.36 |

Epoch: [109 | 120] | Train Time: 91.00 s | BP Average: 8.09 | Natural Test Acc 0.87 | FGSM Test Acc 0.57 | PGD20 Test Acc 0.36 | CW Test Acc 0.36 |

Epoch: [110 | 120] | Train Time: 91.00 s | BP Average: 8.10 | Natural Test Acc 0.87 | FGSM Test Acc 0.58 | PGD20 Test Acc 0.36 | CW Test Acc 0.36 |

Epoch: [111 | 120] | Train Time: 91.00 s | BP Average: 8.10 | Natural Test Acc 0.87 | FGSM Test Acc 0.58 | PGD20 Test Acc 0.36 | CW Test Acc 0.36 |

Epoch: [112 | 120] | Train Time: 91.00 s | BP Average: 8.10 | Natural Test Acc 0.86 | FGSM Test Acc 0.58 | PGD20 Test Acc 0.36 | CW Test Acc 0.36 |

Epoch: [113 | 120] | Train Time: 91.00 s | BP Average: 8.11 | Natural Test Acc 0.87 | FGSM Test Acc 0.58 | PGD20 Test Acc 0.36 | CW Test Acc 0.36 |

Epoch: [114 | 120] | Train Time: 91.00 s | BP Average: 8.10 | Natural Test Acc 0.86 | FGSM Test Acc 0.58 | PGD20 Test Acc 0.36 | CW Test Acc 0.36 |

Epoch: [115 | 120] | Train Time: 91.00 s | BP Average: 8.11 | Natural Test Acc 0.86 | FGSM Test Acc 0.58 | PGD20 Test Acc 0.36 | CW Test Acc 0.36 |

Epoch: [116 | 120] | Train Time: 91.00 s | BP Average: 8.11 | Natural Test Acc 0.87 | FGSM Test Acc 0.58 | PGD20 Test Acc 0.36 | CW Test Acc 0.36 |

Epoch: [117 | 120] | Train Time: 91.00 s | BP Average: 8.10 | Natural Test Acc 0.86 | FGSM Test Acc 0.58 | PGD20 Test Acc 0.36 | CW Test Acc 0.36 |

Epoch: [118 | 120] | Train Time: 91.00 s | BP Average: 8.11 | Natural Test Acc 0.86 | FGSM Test Acc 0.58 | PGD20 Test Acc 0.36 | CW Test Acc 0.36 |

Epoch: [119 | 120] | Train Time: 91.00 s | BP Average: 8.10 | Natural Test Acc 0.86 | FGSM Test Acc 0.58 | PGD20 Test Acc 0.36 | CW Test Acc 0.36 |

Epoch: [120 | 120] | Train Time: 91.00 s | BP Average: 8.10 | Natural Test Acc 0.86 | FGSM Test Acc 0.58 | PGD20 Test Acc 0.36 | CW Test Acc 0.36 |
